Year,Month,Day,Hour,Wind_Speed,Wind_Direction
2020,1,1,3,8.23,9.90519
2020,1,1,4,8.23,8.85501
2020,1,1,5,8.23,9.23911
2020,1,1,6,8.23,9.11127
2020,1,1,7,8.23,10.3265
2020,1,1,8,8.23,16.3689
2020,1,1,9,8.23,31.3997
2020,1,1,10,8.23,46.0912
2020,1,1,11,8.23,64.0348
2020,1,1,12,8.23,81.4995
2020,1,1,13,8.23,94.2618
2020,1,1,14,8.23,102.036
2020,1,1,15,8.23,103.575
2020,1,1,16,8.23,102.684
2020,1,1,17,8.23,97.0287
2020,1,1,18,8.23,88.4903
2020,1,1,19,8.23,83.1292
2020,1,1,20,8.23,81.1844
2020,1,1,21,8.23,82.1325
2020,1,1,22,8.23,87.5465
2020,1,1,23,8.23,95.7999
2020,1,2,0,8.23,104.168
2020,1,2,1,8.23,116.233
2020,1,2,2,8.23,120.097
2020,1,2,3,8.23,121.377
2020,1,2,4,8.23,122.471
2020,1,2,5,8.23,124.133
2020,1,2,6,8.23,124.545
2020,1,2,7,8.23,125.241
2020,1,2,8,8.23,128.736
2020,1,2,9,8.23,135.663
2020,1,2,10,8.23,142.358
2020,1,2,11,8.23,149.454
2020,1,2,12,8.23,155.87
2020,1,2,13,8.23,163.753
2020,1,2,14,13.04,166.744
2020,1,2,15,12.90,166.064
2020,1,2,16,12.38,163.751
2020,1,2,17,10.28,149.9
2020,1,2,18,10.43,141.575
2020,1,2,19,10.78,141.656
2020,1,2,20,11.92,143.759
2020,1,2,21,12.85,146.829
2020,1,2,22,13.01,150.269
2020,1,2,23,12.20,154.235
2020,1,3,0,11.33,158.104
2020,1,3,1,11.75,159.578
2020,1,3,2,11.09,161.399
2020,1,3,3,10.32,163.898
2020,1,3,4,9.64,164.668
2020,1,3,5,9.42,166.271
2020,1,3,6,9.06,166.819
2020,1,3,7,8.47,170.132
2020,1,3,8,7.38,172.802
2020,1,3,9,7.75,179.398
2020,1,3,10,9.45,190.797
2020,1,3,11,11.10,200.335
2020,1,3,12,12.32,206.359
2020,1,3,13,13.04,209.414
2020,1,3,14,13.02,212.5
2020,1,3,15,12.30,213.977
2020,1,3,16,10.96,213.355
2020,1,3,17,7.34,204.133
2020,1,3,18,6.42,181.986
2020,1,3,19,7.55,166.365
2020,1,3,20,9.29,160.513
2020,1,3,21,10.90,161.176
2020,1,3,22,11.56,165.295
2020,1,3,23,11.57,169.176
2020,1,4,0,10.86,172.104
2020,1,4,1,9.93,178.151
2020,1,4,2,8.35,183.917
2020,1,4,3,7.60,185.017
2020,1,4,4,7.08,193.627
2020,1,4,5,7.07,212.517
2020,1,4,6,8.32,223.532
2020,1,4,7,9.12,226.147
2020,1,4,8,8.73,228.621
2020,1,4,9,9.29,232.837
2020,1,4,10,9.67,236.688
2020,1,4,11,9.70,243.609
2020,1,4,12,10.14,248.298
2020,1,4,13,11.13,259.841
2020,1,4,14,10.60,261.94
2020,1,4,15,10.59,264.006
2020,1,4,16,9.39,275.102
2020,1,4,17,7.53,303.879
2020,1,4,18,9.00,331.005
2020,1,4,19,10.42,338.343
2020,1,4,20,9.79,351.059
2020,1,4,21,8.70,2.68378
2020,1,4,22,7.23,15.1351
2020,1,4,23,6.36,37.4929
2020,1,5,0,6.54,43.3771
2020,1,5,1,7.74,43.9355
2020,1,5,2,6.94,44.2459
2020,1,5,3,5.77,40.8271
2020,1,5,4,4.48,27.5679
2020,1,5,5,4.43,34.6838
2020,1,5,6,5.03,48.7252
2020,1,5,7,4.01,44.0401
2020,1,5,8,4.55,61.2164
2020,1,5,9,5.17,69.7393
2020,1,5,10,5.15,64.1182
2020,1,5,11,5.61,62.6866
2020,1,5,12,5.94,59.61
2020,1,5,13,7.04,42.768
2020,1,5,14,8.12,41.324
2020,1,5,15,8.93,39.7114
2020,1,5,16,9.04,33.6993
2020,1,5,17,8.49,31.1586
2020,1,5,18,7.81,28.3201
2020,1,5,19,6.54,23.693
2020,1,5,20,5.67,21.8369
2020,1,5,21,5.04,19.0207
2020,1,5,22,4.65,12.8738
2020,1,5,23,4.51,2.21344
2020,1,6,0,4.58,352.929
2020,1,6,1,5.42,351.636
2020,1,6,2,5.61,351.984
2020,1,6,3,5.73,352.923
2020,1,6,4,5.77,350.53
2020,1,6,5,5.69,349.066
2020,1,6,6,5.77,347.49
2020,1,6,7,5.76,351.006
2020,1,6,8,5.25,354.217
2020,1,6,9,5.81,2.75758
2020,1,6,10,6.14,15.8339
2020,1,6,11,7.07,32.784
2020,1,6,12,6.77,36.4136
2020,1,6,13,5.84,35.0435
2020,1,6,14,5.41,39.3482
2020,1,6,15,5.39,44.6912
2020,1,6,16,5.59,49.662
2020,1,6,17,5.10,55.4928
2020,1,6,18,5.29,56.1152
2020,1,6,19,5.44,56.8993
2020,1,6,20,5.44,57.5104
2020,1,6,21,5.26,61.5176
2020,1,6,22,4.95,60.7029
2020,1,6,23,4.82,61.7421
2020,1,7,0,4.51,60.6264
2020,1,7,1,4.33,63.7408
2020,1,7,2,4.02,64.5698
2020,1,7,3,3.66,64.6422
2020,1,7,4,3.41,67.1648
2020,1,7,5,2.80,75.7833
2020,1,7,6,2.67,79.2749
2020,1,7,7,2.39,88.726
2020,1,7,8,2.09,102.563
2020,1,7,9,2.84,111.372
2020,1,7,10,4.75,112.119
2020,1,7,11,5.40,114.28
2020,1,7,12,5.61,116.854
2020,1,7,13,6.14,124.791
2020,1,7,14,6.41,120.98
2020,1,7,15,6.45,116.966
2020,1,7,16,6.28,113.835
2020,1,7,17,5.60,109.702
2020,1,7,18,5.97,108.379
2020,1,7,19,6.29,106.311
2020,1,7,20,6.66,107.422
2020,1,7,21,6.86,110.046
2020,1,7,22,7.03,116.463
2020,1,7,23,7.09,123.054
2020,1,8,0,7.27,128.572
2020,1,8,1,7.68,138.118
2020,1,8,2,7.84,142.511
2020,1,8,3,8.30,148.987
2020,1,8,4,8.42,153.204
2020,1,8,5,8.59,154.09
2020,1,8,6,8.53,153.428
2020,1,8,7,8.32,154.248
2020,1,8,8,8.14,154.394
2020,1,8,9,8.58,155.617
2020,1,8,10,9.79,158.941
2020,1,8,11,10.47,164.32
2020,1,8,12,10.61,169.81
2020,1,8,13,10.23,172.754
2020,1,8,14,9.77,174.356
2020,1,8,15,7.36,171.238
2020,1,8,16,6.36,162.494
2020,1,8,17,6.17,153.246
2020,1,8,18,6.52,151.418
2020,1,8,19,8.31,149.004
2020,1,8,20,10.49,147.89
2020,1,8,21,11.71,151.046
2020,1,8,22,12.00,156.259
2020,1,8,23,11.56,161.473
2020,1,9,0,10.61,163.541
2020,1,9,1,9.58,164.825
2020,1,9,2,7.55,173.641
2020,1,9,3,5.69,180.208
2020,1,9,4,4.90,181.675
2020,1,9,5,4.34,174.73
2020,1,9,6,3.70,180.803
2020,1,9,7,2.63,193.415
2020,1,9,8,1.17,283.048
2020,1,9,9,2.45,341.165
2020,1,9,10,3.01,347.176
2020,1,9,11,3.31,358.199
2020,1,9,12,2.99,2.90712
2020,1,9,13,2.37,28.148
2020,1,9,14,1.88,23.8954
2020,1,9,15,2.16,17.3582
2020,1,9,16,3.34,27.3787
2020,1,9,17,4.52,23.8674
2020,1,9,18,5.65,22.7425
2020,1,9,19,5.87,25.9339
2020,1,9,20,5.63,33.839
2020,1,9,21,5.24,37.6896
2020,1,9,22,5.45,34.6052
2020,1,9,23,5.54,26.4431
2020,1,10,0,5.37,13.3746
2020,1,10,1,5.89,8.9558
2020,1,10,2,5.62,15.1809
2020,1,10,3,5.85,19.2643
2020,1,10,4,5.61,21.4902
2020,1,10,5,4.95,19.5841
2020,1,10,6,3.74,17.1994
2020,1,10,7,2.04,5.86033
2020,1,10,8,1.10,305.319
2020,1,10,9,1.66,257.47
2020,1,10,10,2.62,235.822
2020,1,10,11,4.41,238.286
2020,1,10,12,6.84,254.62
2020,1,10,13,9.15,268.241
2020,1,10,14,10.54,272.654
2020,1,10,15,11.04,273.188
2020,1,10,16,9.61,275.077
2020,1,10,17,6.85,280.581
2020,1,10,18,6.66,289.575
2020,1,10,19,7.64,301.733
2020,1,10,20,9.35,306.634
2020,1,10,21,10.57,309.961
2020,1,10,22,9.86,314.696
2020,1,10,23,8.67,319.687
2020,1,11,0,7.87,316.706
2020,1,11,1,7.40,312.188
2020,1,11,2,7.30,305.884
2020,1,11,3,7.64,307.24
2020,1,11,4,8.68,312.777
2020,1,11,5,9.33,320.267
2020,1,11,6,9.11,327.459
2020,1,11,7,8.52,329.774
2020,1,11,8,7.47,326.417
2020,1,11,9,8.44,321.727
2020,1,11,10,10.13,319.584
2020,1,11,11,11.57,321.795
2020,1,11,12,12.39,317.781
2020,1,11,13,15.07,314.744
2020,1,11,14,15.73,311.991
2020,1,11,15,15.66,309.621
2020,1,11,16,15.51,311.268
2020,1,11,17,12.48,313.284
2020,1,11,18,10.51,314.295
2020,1,11,19,9.60,315.751
2020,1,11,20,9.64,319.09
2020,1,11,21,10.16,321.43
2020,1,11,22,10.34,319.777
2020,1,11,23,10.70,316.74
2020,1,12,0,11.31,315.438
2020,1,12,1,11.68,312.811
2020,1,12,2,11.89,310.433
2020,1,12,3,11.86,309.789
2020,1,12,4,11.80,309.186
2020,1,12,5,11.94,309.799
2020,1,12,6,11.79,310.13
2020,1,12,7,11.37,309.144
2020,1,12,8,10.68,307.621
2020,1,12,9,12.35,309.474
2020,1,12,10,14.00,317.884
2020,1,12,11,14.84,328.846
2020,1,12,12,13.75,332.263
2020,1,12,13,11.80,332.123
2020,1,12,14,10.29,329.947
2020,1,12,15,9.25,328.332
2020,1,12,16,8.70,328.367
2020,1,12,17,6.73,331.339
2020,1,12,18,5.73,334.759
2020,1,12,19,5.18,339.972
2020,1,12,20,4.52,339.415
2020,1,12,21,4.16,334.115
2020,1,12,22,3.69,322.351
2020,1,12,23,3.63,307.217
2020,1,13,0,4.35,296.199
2020,1,13,1,4.80,288.228
2020,1,13,2,5.45,293.079
2020,1,13,3,5.41,296.04
2020,1,13,4,5.43,296.341
2020,1,13,5,5.26,292.385
2020,1,13,6,5.06,287.216
2020,1,13,7,4.87,288.751
2020,1,13,8,3.33,287.175
2020,1,13,9,2.48,277.178
2020,1,13,10,2.77,246.761
2020,1,13,11,4.52,233.973
2020,1,13,12,6.04,243.736
2020,1,13,13,7.16,252.136
2020,1,13,14,7.28,258.109
2020,1,13,15,7.13,263.161
2020,1,13,16,6.78,264.878
2020,1,13,17,5.06,265.009
2020,1,13,18,4.41,258.014
2020,1,13,19,4.10,260.892
2020,1,13,20,3.61,260.262
2020,1,13,21,3.48,259.976
2020,1,13,22,3.93,257.645
2020,1,13,23,5.09,265.49
2020,1,14,0,5.86,281.536
2020,1,14,1,6.28,301.09
2020,1,14,2,6.60,311.668
2020,1,14,3,6.84,314.017
2020,1,14,4,7.41,315.699
2020,1,14,5,7.59,317.998
2020,1,14,6,7.79,318.358
2020,1,14,7,8.09,317.213
2020,1,14,8,7.69,318.768
2020,1,14,9,8.42,323.763
2020,1,14,10,9.73,330.218
2020,1,14,11,12.78,338.336
2020,1,14,12,14.15,338.538
2020,1,14,13,14.25,331.376
2020,1,14,14,14.61,328.868
2020,1,14,15,14.87,329.109
2020,1,14,16,14.78,330.632
2020,1,14,17,12.26,334.282
2020,1,14,18,10.90,340.78
2020,1,14,19,10.99,346.47
2020,1,14,20,10.61,349.571
2020,1,14,21,9.96,350.324
2020,1,14,22,9.24,348.655
2020,1,14,23,8.47,344.136
2020,1,15,0,8.00,340.029
2020,1,15,1,7.83,335.678
2020,1,15,2,7.83,336.354
2020,1,15,3,7.76,339.367
2020,1,15,4,7.84,342.809
2020,1,15,5,7.81,343.427
2020,1,15,6,7.72,343.104
2020,1,15,7,7.35,343.708
2020,1,15,8,6.51,344.259
2020,1,15,9,7.25,350.837
2020,1,15,10,7.32,4.79808
2020,1,15,11,5.93,22.1784
2020,1,15,12,4.61,44.8834
2020,1,15,13,3.27,60.2605
2020,1,15,14,2.83,85.2428
2020,1,15,15,3.05,94.0792
2020,1,15,16,3.59,96.8834
2020,1,15,17,3.79,94.2581
2020,1,15,18,4.06,88.4664
2020,1,15,19,4.55,89.5173
2020,1,15,20,4.76,92.1087
2020,1,15,21,4.63,90.5673
2020,1,15,22,4.65,95.7954
2020,1,15,23,4.67,102.03
2020,1,16,0,4.48,103.103
2020,1,16,1,4.37,99.2177
2020,1,16,2,4.09,97.5664
2020,1,16,3,3.78,103.255
2020,1,16,4,3.38,118.564
2020,1,16,5,3.44,131.945
2020,1,16,6,3.94,144.008
2020,1,16,7,4.49,153.631
2020,1,16,8,4.45,157.146
2020,1,16,9,5.41,156.377
2020,1,16,10,7.76,156.622
2020,1,16,11,9.07,158.169
2020,1,16,12,9.30,160.896
2020,1,16,13,9.72,165.92
2020,1,16,14,9.76,164.649
2020,1,16,15,9.92,162.498
2020,1,16,16,9.51,159.64
2020,1,16,17,7.78,150.695
2020,1,16,18,7.44,137.853
2020,1,16,19,7.82,133.733
2020,1,16,20,8.10,135.204
2020,1,16,21,8.19,138.565
2020,1,16,22,8.22,141.236
2020,1,16,23,7.93,142.853
2020,1,17,0,7.62,146.074
2020,1,17,1,7.77,150.482
2020,1,17,2,7.98,154.474
2020,1,17,3,8.42,156.526
2020,1,17,4,8.55,157.917
2020,1,17,5,8.51,159.069
2020,1,17,6,8.63,160.172
2020,1,17,7,9.16,161.275
2020,1,17,8,8.70,161.852
2020,1,17,9,9.83,163.39
2020,1,17,10,12.72,165.213
2020,1,17,11,13.96,167.197
2020,1,17,12,14.11,169.576
2020,1,17,13,14.77,174.882
2020,1,17,14,14.44,174.646
2020,1,17,15,14.53,171.347
2020,1,17,16,14.25,169.605
2020,1,17,17,11.64,163.577
2020,1,17,18,11.01,158.105
2020,1,17,19,10.88,158.986
2020,1,17,20,10.59,161.688
2020,1,17,21,10.14,163.426
2020,1,17,22,9.60,165.052
2020,1,17,23,9.05,167.803
2020,1,18,0,8.76,170.694
2020,1,18,1,8.80,177.052
2020,1,18,2,8.02,181.083
2020,1,18,3,7.57,180.592
2020,1,18,4,7.50,182.864
2020,1,18,5,7.65,184.854
2020,1,18,6,7.73,186.527
2020,1,18,7,7.37,187.669
2020,1,18,8,6.10,193.386
2020,1,18,9,6.17,199.515
2020,1,18,10,8.37,211.224
2020,1,18,11,9.83,216.299
2020,1,18,12,10.31,220.389
2020,1,18,13,9.41,222.898
2020,1,18,14,8.44,226.209
2020,1,18,15,7.26,226.311
2020,1,18,16,6.59,221.255
2020,1,18,17,5.07,206.519
2020,1,18,18,5.58,182.89
2020,1,18,19,6.01,172.628
2020,1,18,20,6.36,169.114
2020,1,18,21,6.13,166.441
2020,1,18,22,5.65,163.373
2020,1,18,23,5.22,158.904
2020,1,19,0,4.71,160.221
2020,1,19,1,3.31,151.46
2020,1,19,2,2.75,167.662
2020,1,19,3,1.97,186.66
2020,1,19,4,1.67,235.818
2020,1,19,5,2.26,268.125
2020,1,19,6,2.42,286.31
2020,1,19,7,2.76,309.757
2020,1,19,8,2.90,329.279
2020,1,19,9,2.82,342.302
2020,1,19,10,3.04,346.682
2020,1,19,11,2.69,333.749
2020,1,19,12,2.89,321.744
2020,1,19,13,5.50,338.488
2020,1,19,14,5.27,347.426
2020,1,19,15,4.72,344.016
2020,1,19,16,4.53,343.994
2020,1,19,17,5.33,3.82107
2020,1,19,18,6.82,24.3939
2020,1,19,19,8.25,32.0014
2020,1,19,20,8.59,34.75
2020,1,19,21,7.95,35.227
2020,1,19,22,7.16,32.8605
2020,1,19,23,6.69,31.026
2020,1,20,0,6.86,29.9487
2020,1,20,1,7.51,33.1431
2020,1,20,2,7.50,33.3886
2020,1,20,3,7.18,33.7015
2020,1,20,4,6.80,30.0366
2020,1,20,5,6.27,27.7963
2020,1,20,6,6.01,27.6727
2020,1,20,7,5.85,24.7601
2020,1,20,8,4.91,24.6682
2020,1,20,9,5.66,39.6772
2020,1,20,10,7.41,52.8177
2020,1,20,11,8.51,58.732
2020,1,20,12,9.03,60.4406
2020,1,20,13,8.53,59.859
2020,1,20,14,8.09,58.334
2020,1,20,15,7.90,58.5698
